,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Intra-cortex
Cortex_1,0.01023403312956655,2.5217473715155774,0.030360373722636197,0.03297933695287571,4.316438744705139e-05,0.0,0.0,0.0,0.0,0.00017701946831038927,0.0006249390973687062,0.000487615749773628,0.008279090244772075,0.0004466352985322201,0.0,2.6147501193917503e-05,0.0,0.04846426894223989,4.867617349191281e-07,6.327945912845139e-05,1.9592915881122223e-05,0.0,0.006494521258616713,0.004730378383777094,0.003788765545588234,0.013380868667228455,0.001761037424330425,0.09941144171950295
Cortex_2,0.0,0.9772810613880628,0.07912005730654209,0.10624146980281812,0.018934629043816514,2.650541622035833e-06,0.0,0.0,0.0,0.00039295501818646964,0.0006132274756337305,0.00039798086281979373,0.007530016661177492,0.0005571097567208984,1.2244749814271667e-05,1.932316054649143e-05,9.29348328403e-06,0.011284426103660492,7.103672032825521e-07,2.0569728770135695e-05,1.938059910942136e-06,0.0,0.04237999594276865,0.005918143028383893,0.0026280243589661308,0.007960310290351482,0.0016865011030802082,0.14017555591665617
Cortex_3,0.0,0.0,0.061028171812577886,0.0009737748827476491,0.005483127681202211,5.841083596654166e-07,3.187777919164352e-07,2.247110214306131e-07,0.0,4.369480525058662e-05,0.00016615232968752774,2.8989117336496008e-05,0.00010449711293216873,7.486763076432448e-05,0.0,0.001457873813922594,0.0028784811592302124,0.010437416037859006,0.0,0.0,0.0,2.3148237139535255e-06,0.00032942118195932916,0.002142037757803639,0.0006219910032772706,0.0007897287561710715,0.0012362789181117205,0.00730668064632959
Cortex_4,0.0,0.0,0.0,0.08644641725208013,0.017923039537021627,2.4502700502385356e-05,0.0,1.8283148219878445e-07,0.0,2.4045014993946447e-05,0.00013046981381349378,7.800330485888693e-05,0.028447631956102372,0.005307438545933082,1.5135071589611428e-05,5.049526894903099e-07,4.728745177077663e-05,0.001423030401126473,2.487569158152455e-06,2.601352696003452e-06,9.635479966979333e-06,7.138689811666747e-06,0.05169153706048061,0.00037456777020677837,0.0004400163093274306,0.006060061008557924,0.0,0.012542604285652278
Cortex_5,0.0,0.0,0.0,0.0,0.045597512753278516,0.0001410109402603773,0.0,0.0001444848952298537,6.107941079688889e-06,6.838428962121968e-05,0.00024105628761430517,6.111813011326906e-05,0.0007388767700454034,0.00945010778822303,0.014440275071575456,0.00030891633836954507,0.0032349137723118085,0.00010136349152196955,0.0,8.549783766890432e-07,6.82117152921477e-05,7.385555807873325e-05,0.0005788415809193875,0.0006902504955538553,0.00030398937909121237,0.00024115112285648195,0.0004937534416941457,0.004421073977429426
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.4387974231658604,0.04711407579774991,0.04384043172062043,0.019851209226805156,0.00011588683740101045,0.00014066367210858669,0.00020700825910039674,5.091223374619634e-06,9.487219360972807e-05,0.00010103510307729224,0.02218952782670673,0.008406969614875071,0.0004349333998611434,3.4007007595702334e-06,0.0,0.0011140085515091548,0.0005084014013711282,0.0009383120672827765,0.02776627193787428,0.014182169797598222,0.0005062422275398017,0.04289152875825049,0.024791785621262243
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.06559003623593318,0.013253097708281663,0.0002709594914814199,4.627986406794834e-05,7.425296529145508e-06,8.276393729567695e-05,1.9266148159304945e-06,1.3676002944477028e-05,2.404944486139917e-05,0.004321919619286353,6.921234480726342e-05,0.006127817838486249,0.0056436151429550005,0.0,9.922075410743397e-06,0.0046381245387908795,6.627534485139084e-05,0.011351304283610683,0.00575355021301591,8.899858280862064e-05,0.009526057102890765,0.006444496528098759
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05655165575619021,0.011212458441950738,0.00012642855119026773,0.00016874099823018898,0.0075558395858746534,8.549081703636314e-06,0.00045539270502070495,0.0002454495342600836,0.0003960797917929095,0.0007565689288719503,1.0482563521481102e-05,2.1881594396485634e-05,0.0,0.015427038221620042,0.007344068560795602,0.00012647463784430177,0.006577153338988141,0.011223961300400459,0.00017034331380370537,0.011782095277899057,0.00694070681670334
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436455027008296,0.010110920980450062,0.002889433492297849,0.011781436227743969,5.6684894661884725e-05,0.00015740436246005366,0.0002860970388053346,5.914400252549875e-05,0.0046639116985400415,0.0,0.0,0.0,0.0002449399449167851,0.00010610705720815441,0.0,0.0001165210114777437,0.011069755079329389,0.0,0.0,0.004315873836761607
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10736539338053602,0.03966935916341844,0.005898462628185473,4.500594890747086e-05,0.0011517946455437806,0.008666705910408183,0.00019712140657412967,0.004846895452675248,7.502097573326661e-05,5.559687191893973e-07,8.119960035574405e-08,8.691028910856481e-05,4.566302193000153e-06,0.00014647232027137857,0.003803312544572917,0.01714903661611707,0.0009377071351498323,0.0013035418351827392,0.007498279946384036
Cortex_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06398343738953523,0.008314220090908197,0.004033993785439525,0.020584127972822386,0.011875034658773495,5.780111926703938e-05,0.0003243808561481133,3.407144380181817e-05,3.461163942716937e-05,6.423161149799412e-05,9.19621847241803e-05,2.1579758377234734e-05,0.00018254069820855184,0.0004315055329052294,0.0016201021261021587,0.0011872897644691338,0.0001444838051156669,0.005838401557934263
Cortex_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021227458289200838,0.0010481237486634756,0.00935502724448784,0.0003537625216755656,8.041121314979039e-05,0.00014175614859862507,1.1677701052660292e-05,0.0005430416564025586,0.0038695698808677206,0.01138043858892037,0.0006569671726388983,8.784870222673957e-05,0.0022447809531424335,0.02934791740844842,0.007472559513077646,0.00033186976603853126,0.004557283274170465
Cortex_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06610331956387719,0.03100095922138805,0.00012181154946535552,1.5623431067978756e-05,9.395041155038617e-05,0.0036267859962503856,1.5374761978932546e-05,5.7374625454976476e-05,1.4194244577590636e-05,7.009147767488159e-06,0.016967013744575318,0.0019429088482283364,0.0015755283094600562,0.1507843349055634,0.019667342415146567,0.01267751923033141
Cortex_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07197446627752774,0.010160362240998732,3.4115711698267486e-05,0.0010853740393235462,1.1254255768601695e-05,0.0003000205969351751,0.0014755181252320481,0.0005358293457072006,0.00013311503218463828,0.0007020198134846908,0.0014953331729106421,0.006707703566500861,0.03504327617145453,0.0008329048647581711,0.0077459520956642755
Cortex_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046040058050430765,1.9996287407052902e-05,0.012609995311278663,3.7282114835059616e-06,0.0,0.0,0.00020965390725074875,8.834611442568251e-05,0.0,0.0001277171388803547,0.00043697841148286696,0.0,0.00016263549914583502,0.003925965623225565
Cortex_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04706003810461077,0.013259108860975855,0.005965090958192184,1.766633867070744e-05,0.0,2.4690712618595836e-05,0.00010508055676827371,9.015645492062856e-05,0.004842406545076779,0.0014524796106651333,0.00042167515772491976,0.0026188070995857597,0.0038904335768891627
Cortex_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054215723658112544,0.00015585955046747637,0.0,0.0,0.00020825250556917466,0.00031673509324561306,8.0626326598575e-05,0.0008548502231495699,0.0005025029105849162,3.1138518352233938e-06,0.0003070393979442007,0.00403973344636107
Cortex_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05397843958593034,0.001859896938829889,1.7470464644791207e-06,0.0,3.221188669522058e-05,0.00013760897456904813,0.001587065391545548,0.00042963832307906863,0.008672109848903518,0.000955777620296548,0.005771174943975566
Cortex_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029860267164949585,0.010428441057847466,0.00021878785165950623,0.0021663231087069336,5.746882834500781e-06,0.002456260166229932,0.008971487519414206,0.00029467099060575804,0.00017811229444219688,0.0023342165582911525
Cortex_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03224143334304289,0.005625068054137825,0.0003158095230818299,0.0,0.00023957266418821798,0.011002247553239825,0.00019137451500720625,6.217750018952778e-06,0.002429851572913077
Cortex_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020937906712290243,0.00549075951313221,3.2885832802599445e-07,0.00045216565431872,0.004003705219960896,1.0492707992347223e-06,3.741245978340486e-05,0.0024523852717553483
Cortex_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032327582030103344,4.798480823899038e-06,0.002778321293100921,0.0037491080649106326,1.2948644115776443e-05,0.0005989554974054585,0.002277415846275821
