,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.02318680451058695,3.189163539068442,0.005387016079318209,0.031061367598998347,0.0027679259908583186,0.0,0.0001737508314868611,4.876214266654892e-07,0.0,0.0015895404527960892,0.008793426227967634,0.003908146898631608,0.01431082964974259,0.008720654002603141,0.0,0.001199451815210835,0.0005095789768382976,0.07560128278493117,0.0002304106178057078,0.0013352272111880124,0.0002318025253771278,3.520365295956154e-05,0.03078779779589525,0.12641286011772723,0.021975872283986828,0.04523563278939986,0.055938163240007555
Cortex_2,0.0,1.3312529755173008,0.08455413287838685,0.17297117043233023,0.030050322719866265,0.0,2.190500094069713e-08,0.0,0.0,0.0002294768718089048,0.0017823673945002942,0.0008465452026818377,0.016266540710509505,0.002738482659899307,1.128821713791695e-06,0.0008749938995292677,0.0004051686563521159,0.033625081482295385,2.9550847751616082e-05,0.00019913931201535914,9.488537250068519e-06,0.0,0.06139582913522188,0.02164140164184165,0.0042901623809453475,0.0117270279343068,0.010717340680098867
Cortex_3,0.0,0.0,0.07770085960092173,0.0005267476835073761,0.004071020844609166,7.628358434885001e-06,1.7599898388585386e-05,7.114793429320156e-05,1.5261916511608333e-06,0.00022141710850201538,0.0005332541456915632,3.835040821008302e-05,0.0002936565595182995,0.00031842355084421114,3.0602363494835824e-05,0.0102988796089992,0.005781313623231836,0.01237693157979036,0.0,3.660856297610953e-06,0.0,2.19792696626448e-06,4.843541589138947e-05,0.005490843117414021,0.0010649251699414795,0.0006818345770695259,0.003481624397099614
Cortex_4,0.0,0.0,0.0,0.14014786251544925,0.014382572794596114,1.733021365777986e-08,0.0,0.0,0.0,3.109550951713775e-06,6.234964333908002e-05,3.8666864514066826e-05,0.03601335767843976,0.0207333663771253,2.089164315422857e-06,6.195290750708468e-06,1.4171501665113527e-05,0.0020523866210807643,7.2633481197823655e-06,1.3601131990292323e-05,0.0,2.768626463041498e-06,0.03486030989760381,0.0009867966294879824,0.00034083980186951085,0.009280788595670308,0.0005985232182378428
Cortex_5,0.0,0.0,0.0,0.0,0.08679186207683084,0.00013393817843226105,1.4630146302177017e-05,0.00019909416616902537,9.921654987089102e-06,3.934403191253965e-05,0.00019168666437799578,3.1392612953331314e-05,0.002527140440256174,0.01841578613068688,0.01136056412847827,0.00026270718759594956,0.0050155129965467745,0.00020034457811096375,8.060394552305164e-06,6.989182167424074e-06,4.051879116076619e-05,0.0002624405103794745,8.619970796846241e-05,0.0020577341347898367,0.0003781303476131545,0.0006152137269010695,0.002054624706008517
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.46516116726358303,0.06554509187337598,0.07055613121093486,0.013723597223280625,0.0003207221610147833,0.000215186157310216,0.0015709621045603692,4.1622530807216475e-05,0.00043970159834908867,0.000989811260860727,0.016096327385444614,0.014476298977058369,0.001511035337781701,5.939815458759685e-05,9.802055299383334e-07,0.0011091213677104311,0.0020709559145116433,0.001252577226989599,0.08290217119245138,0.03399600052563798,0.0002895707231800715,0.10494007242689914
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.10230058056099947,0.016722131863442808,0.00031428154915572135,5.418662246144699e-05,3.1056874350254923e-06,0.00018341459546949526,0.0,3.5841363815809555e-05,2.299851069646153e-05,0.009589016200802917,0.0001235911795347961,0.015203700266003624,0.016306303578031072,1.6911078162977163e-05,0.0002214516827433989,0.009832628840399517,0.001369067188456271,0.04224985653981561,0.008749249058662313,0.00013418557811443208,0.04331868003373975
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07000076038613988,0.016207971408381747,0.0006231885468994484,0.0004961495164357129,0.0012774566867861156,3.807092162791718e-05,0.0009138138444001902,0.0019054026065218922,0.0007439323992435304,0.0008242709807743368,1.0711544348083339e-05,8.573488200229378e-05,9.327281113366472e-06,0.011062993924099547,0.02364945375682648,0.00012135809845620357,0.02224214592259663,0.013825610337360749,6.035053437308928e-06,0.025340542205710064
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09359689603668325,0.01714373192471355,0.00040340721864384955,0.023799619226987936,9.341687837149374e-06,0.0001513862051715412,0.0014540062388442758,0.0002671571008303874,0.0039004385994624003,2.7988437007199146e-05,1.2088780749763813e-07,0.0,0.0002425888148354989,0.0002773003714738333,0.0,0.00100868543715475,0.009095651477633753,1.51496751641389e-06,0.0010985057775997
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20460453561284947,0.06949050298500055,0.010115317250309397,5.426533003368795e-05,0.0002948000352250393,0.020175945707896246,0.0023256366702516344,0.005339876601453677,0.0001499964580439821,0.00016061612134876638,0.0004411245537435377,0.0005563038863393313,6.380291519335638e-05,0.0,0.003518293559232726,0.016171513961080245,0.00026320201139655853,0.002615125612853336
