,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.0281811587733216,3.4465826272182856,0.009655846625445571,0.031498652214482996,0.0007622808474556299,0.0,0.0,0.0,0.0,0.00029988921031482145,0.0018848228116815767,0.0010870646585352407,0.007597670013975931,0.0054332404148707495,0.00019598649814724502,0.0,0.0,0.044979763128807686,4.9248390041609376e-05,0.0003613059249245311,0.00012485987433545002,3.8711152648409615e-05,0.0136301970381112,0.02746510143596418,0.023270177335433944,0.018114882626122125,0.0018757328348897
Cortex_2,0.0,1.6675413383065059,0.14394030321861603,0.14800506507776573,0.03457408978361952,0.0,5.938101687071917e-07,0.0,0.0,0.0002567678492233552,0.000834476299625435,0.0005218970060647517,0.01594904955100593,0.002581614637995692,0.00016507744854550165,2.1504733922475916e-06,0.00010937144195395167,0.027199655306629194,3.130323646444006e-05,2.584807696250478e-05,9.975038515337486e-05,3.605858998921795e-06,0.04882251462257343,0.00820658429752415,0.0064114942804002865,0.009576114545295625,0.00301086920516504
Cortex_3,0.0,0.0,0.10168254817113939,0.0010067405661776149,0.00641416530680541,0.0,0.0,0.0,0.0,0.0002604579058892571,0.000376778166009588,3.1784283843291386e-05,0.0001232870870192148,0.00020601910226259045,0.00010850472596454333,0.010308640023852851,0.00917275389371131,0.007973370581018937,0.0,1.710888884392463e-07,7.195278023435186e-07,0.0,4.2640686312245274e-05,0.0012727004352524668,0.00032481707167519256,0.0002237946967819441,0.0007318486185094166
Cortex_4,0.0,0.0,0.0,0.098213765176566,0.015635763480019924,0.0,1.224376989291984e-05,0.0,0.0,0.0,2.0681147250099115e-05,3.116760894697293e-05,0.039580127017232694,0.00828620011496913,0.0,1.5983061140494248e-05,1.9502272230705715e-05,0.0037508449467445895,0.0,0.0,4.412668030930672e-06,0.0,0.046446314095457505,0.0001928531917139419,0.00027068767523173075,0.0022663903228146115,0.0013672337622015838
Cortex_5,0.0,0.0,0.0,0.0,0.06758724802504179,3.0342694420444536e-05,9.278735012262346e-07,2.388474253425884e-06,0.0,7.184722302813492e-07,1.9586153503798904e-05,4.4945677679229213e-07,0.0007178714154534422,0.009875801153509273,0.010300386852032179,4.1277179760059185e-05,0.0041978717442892,2.1903612778415375e-05,7.097882183239167e-09,5.1574689649318513e-11,0.0,1.399539066785313e-05,5.265961064853333e-05,6.350366585018126e-05,0.00012779267314044334,0.0,0.0
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.6940602620812301,0.09837957928141737,0.08110639877961526,0.025886698189458976,0.00024124689036527765,6.056665115749999e-05,0.0004477172380225873,3.6448393382215e-05,9.711425592797473e-05,0.00026037600605149355,0.0317951079099207,0.013298993194743114,0.00016605641193949,6.682862294837812e-06,0.0,0.0005629399706548126,0.000538702936727291,0.002823434905912566,0.035879175723732455,0.02529435678817434,2.4903725716285e-05,0.07494849866620085
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.1113706177522182,0.021717559451476458,0.0003510697761578599,5.2844069615041377e-05,5.8141780022601405e-06,0.00025262519635665037,2.3577346059115698e-05,2.155161832067475e-05,8.795875507594234e-06,0.007603800980730778,7.037927182839631e-05,0.006842490111229441,0.011810915667114799,1.0725352903418301e-06,0.001312880843420178,0.007266100648942845,0.0015043193694141365,0.05533391636213738,0.02424251293210261,7.255763550043765e-05,0.0648926383737144
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12398161096489353,0.010564484542835225,0.0004034563947816969,0.00011993726106394485,0.0030765817497623543,3.9211247988619936e-05,0.00036335332720064545,0.0009501069113074434,0.0005867347688090505,0.0015372634370418815,1.093186845857096e-07,1.4603975356765498e-05,0.0,0.03005413856536977,0.011852920181356363,0.0003950076587833322,0.011023570255072756,0.013084836444005802,0.0,0.0139008595473814
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10246997779456614,0.018422197876655055,0.00045894053925946577,0.025107545361082558,9.169750114779187e-08,0.00014851983581820396,0.00022005886513133018,0.00010003983171941228,0.01076553216223632,1.9629650173903095e-06,0.0,0.0,0.002502134451076003,7.901484301675769e-05,0.0,0.000497444014854405,0.01162326705212699,0.0,0.00015148429665714
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19302586014901466,0.05705657318200842,0.010865786042273862,4.054328551969062e-05,0.0005299816230966503,0.013798711062483591,0.00011487382443460283,0.007195297730469171,6.339812290809213e-05,3.860366015421141e-07,1.4016694876772433e-05,0.0006711249999294337,3.1189688311914195e-05,0.0003585047712216964,0.0045270516790115465,0.02665134576969171,9.006062152495894e-05,0.003065459919785743
Cortex_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14745225615870733,0.012883960916193331,1.171624830931211e-05,0.0577673473026851,0.040754030717714,6.288813075805241e-05,0.0005502365694302172,4.958976523345619e-05,2.344317197255859e-06,1.3753209598928846e-05,0.0002947498346735269,1.7697609460643885e-05,5.210091859453125e-05,0.0009922514385900423,0.0012266673850785234,0.00013728041569649292,0.00031180550558928123
Cortex_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06214830304921944,0.001326580769762959,0.010951614500284352,0.00023250334786600234,2.3553348661189905e-05,0.00033988961620154846,1.1267408227811727e-05,0.0020640971624024435,0.008124789093796794,0.014019202128162208,0.00045754383205132056,0.0,0.0010980464763912909,0.047204607349332996,0.005927164280189836,1.2565125265e-05
Cortex_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0914386797008696,0.04779222448408901,1.703898760751875e-06,1.0422218650774052e-06,1.8775009729265173e-05,0.0043209417637598705,0.0001629185048963259,2.592576598203731e-05,2.2256595723005903e-05,2.7939321505242816e-05,0.006149099923712281,0.0023660205010042003,0.0013333542940481206,0.34149148914897853,0.004200006878818381
Cortex_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13519055739763253,0.015504981976609466,1.4900541546579639e-05,0.00031754450899313584,3.3097766018460155e-05,0.00048022870345386306,0.0007749181308880475,0.0005789227135937616,0.000250599705681411,0.00018765553568300311,0.003573684776853411,0.008185616048815531,0.028126248634579236,0.0008361217483070312
Cortex_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13836420341506175,3.464101133996233e-05,0.04507271904122866,2.088137290735534e-05,0.0,0.0,0.0011048116785526182,0.00042978520463300875,2.232594997622e-05,0.0002706006426592412,0.00031544144569721234,0.0,4.77592984680086e-06
Cortex_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05287926410903834,0.02048069897989091,0.01256995266927117,1.7756748751773393e-05,0.0,8.315045974742599e-06,0.00013644507877989785,1.118247528211e-05,0.0022702851084962635,0.0007206151399519592,8.000950401765299e-07,0.002369506847954015
Cortex_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1194740295364371,9.704921641504459e-05,0.0,0.0,0.00047748677327884347,0.00039636191766539763,0.0,0.00012423758192312183,0.00020476560966404303,0.0,0.00034737204987322
Cortex_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08494246653827411,0.0028475824509823634,5.933786382361282e-05,1.739282144711969e-05,2.7823836921369678e-05,0.0,0.0014450816511745784,0.0010741371888841127,0.0072645101404731575,0.0011472740973532808
Cortex_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06696145039910173,0.02582185923597384,0.0002613965663819217,0.006175889086452312,3.8012220670679003e-05,0.004033350969283233,0.024368919100890098,0.0019137685708087138,0.0013834560681769378
