,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.03074183463329475,1.2269050744668466,0.013050593262534166,0.027615837256459583,0.0007017298735728255,0.0,0.0,6.460339412634697e-08,0.0,0.00016271786124986745,0.002061498012916156,0.0013169179967462688,0.003433996683548374,0.0018080227517520658,0.0,0.0,4.4098751317278625e-09,0.03637175874395625,0.00011096312269001544,6.764973943596809e-05,4.703837484814444e-05,2.7754459757453465e-05,6.63000900829e-05,0.01336371440864865,0.006617970392293211,0.010982585864928219,0.00715635695493775
Cortex_2,0.0,0.5775002423205432,0.0593864799655786,0.05823153012046444,0.012652186492258244,0.0,0.0,0.0,0.0,9.73093990199089e-05,0.0007145881661991378,0.0006099774772616649,0.004634289725370292,0.000814266306090493,8.0526776097625e-06,3.859670929765833e-06,5.8034163827359583e-05,0.009911794943063231,8.599516561957571e-06,4.684026943022096e-05,1.6266177814932568e-05,3.338907145706731e-06,0.007335529470623214,0.004939953419135911,0.0031600942196030276,0.004573739661274236,0.001999258817351917
Cortex_3,0.0,0.0,0.060265386817656065,0.0013499386122443149,0.004050674062742633,0.0,0.0,0.0,0.0,4.2651071739320954e-05,0.00014637180334510535,8.751976657972406e-05,0.0003091236750054522,0.00010479562619695386,3.519655249798765e-05,0.003829923388088156,0.004420968070497294,0.008477294262200643,1.8444922034166666e-07,0.0,0.0,0.0,6.544816460518333e-05,0.0014059382570383062,0.0006641046825858989,0.0003152185654933312,0.0007377717719086996
Cortex_4,0.0,0.0,0.0,0.04532147573690427,0.010589697445739756,1.4752892976892858e-05,0.0,1.5611410095389874e-05,0.0,1.402111869148258e-06,0.00011715341922017003,2.8650924701335965e-05,0.014710992887396432,0.00915118540131469,6.684598070826715e-05,3.8510575401620814e-06,0.00020095714525205543,0.0006010016975722518,9.305857235305638e-06,3.6946076759147733e-06,1.7680918135160715e-06,7.960810759161589e-06,0.0014108601546760273,0.00015055253522801168,0.0003271608829799691,0.003109572782255904,2.3656803012524553e-05
Cortex_5,0.0,0.0,0.0,0.0,0.028601026415150495,8.567780848049168e-06,0.0,1.7487817213833825e-05,0.0,8.256507672264147e-08,3.3473839828977374e-05,1.7608142042195255e-05,0.0003950067218838943,0.0044943281485092836,0.010392272414104994,1.665691315035125e-05,0.001613469439987459,2.6323882041313247e-05,0.0,0.0,0.0,9.330087645837286e-06,9.786353863698055e-05,6.793857928578403e-05,0.00014616318909253746,2.9528138434720832e-05,2.1822861324630555e-05
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.4396114262743477,0.04139498437858482,0.034424751248800414,0.016537508387779086,0.0001044073593131332,0.00010114902968973874,0.0002979609100104501,1.510327456344341e-05,0.0002028119544532002,0.00011317865555627888,0.013642899817274196,0.011560297423752584,0.0002217200894759157,1.565110816557052e-05,1.324761089765364e-07,2.309531717198739e-06,0.000184771276722296,0.002029925903690344,0.025579571053832805,0.01782812249086211,0.00022678917819121,0.04004640405865302
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.04258685353170934,0.009993079716965562,0.0001698400023065625,3.341666703659325e-06,1.5916945627203125e-06,7.483506661536612e-05,1.1310580071544965e-05,0.0,9.012166669385278e-06,0.00420844636452461,1.2916080740456528e-05,0.004598200735534515,0.005589137198944578,0.0,3.931044160244712e-05,0.002728109204478317,0.0003010112911893153,0.006364071883542592,0.004049619290236773,4.801899282824668e-05,0.008150860477985626
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08245724211424123,0.0076434112653050576,0.00019626043200603549,0.00013560066292596365,0.0012493207007470376,1.0583682008505357e-05,0.0003357746604719468,0.00014354273425721514,0.00017712034862591287,0.00010785445527624475,4.1632965503894225e-06,2.959257309750447e-05,0.0,0.009298148559068237,0.006293374907209989,0.0002511434397447536,0.0029957599653359294,0.004359593329477643,0.0,0.00509446301598931
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434633694016809,0.007979759099298893,0.0001187052235923842,0.009393628621996023,0.0,0.00010355036296437589,0.00012577904784648932,4.323072779580825e-05,0.004605040300109066,0.0,1.878843704615625e-07,0.0,2.4501805081753194e-05,9.468156638901635e-05,0.00011900975368916999,0.00015205787050831288,0.00348216605074834,0.0,1.2076860366502554e-05
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851480833326038,0.03701269381300703,0.006014399087916746,4.6757399269863715e-08,8.702925685263416e-05,0.005574582298496823,1.2717830172701786e-05,0.005294560887566811,1.1566772634934446e-05,1.256037908855692e-06,0.0,0.00011112426923355536,2.768276221064332e-05,3.806732300810321e-08,0.0002513777399126942,0.007099763698508772,4.617267002004972e-05,0.0007028245907706881
