,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.04091824008964815,3.5390409844534347,0.03306271625551554,0.07862437261717038,0.0007222303831784613,0.0,0.0,0.0,0.0,0.0008272877758689178,0.0027651834686188686,0.003136655775424199,0.0047131469469749885,0.001988016070993397,0.0,9.595949990171e-09,2.1317832135991924e-06,0.07108380913445446,2.0645367814429897e-05,8.372704041903332e-05,0.0002963389495360148,0.0,0.000744592514820375,0.04085808654515209,0.017980739104972027,0.014077841551095791,0.00462075204995925
Cortex_2,0.0,1.4825059498187718,0.11836913177639438,0.14513797193386177,0.03105500674365179,0.00017948710107399668,2.3863053452596727e-05,1.2082381317668453e-08,0.0,0.0009251515917935059,0.0015024500604265813,0.00110250615475088,0.01397498638289992,0.0012136744313333402,5.668276765694e-05,5.264664393583413e-05,0.00012265298728190332,0.014199447326180848,4.748467519395935e-05,0.00010228239666208215,1.1799814072014933e-05,3.8152500518406607e-07,0.07959266050191253,0.015451612048459152,0.009971883865227182,0.014083978192015451,0.0022009255497626285
Cortex_3,0.0,0.0,0.1466412523203359,0.0009116895487469698,0.009605214567919625,0.0,0.0,2.460309631368589e-07,0.0,0.00026796602512226914,0.0004018528833722236,0.00011334919026766602,6.675683849625258e-05,0.0001687724049005843,0.00018392671159593417,0.006016637192028781,0.010003973035476295,0.012042438693654102,0.0,0.0,0.0,5.730493529362707e-06,0.0,0.00518777586323877,0.0016652599564544563,0.0002911490195825614,0.0017406931960424704
Cortex_4,0.0,0.0,0.0,0.1307016938213227,0.027416977207204547,9.067855224072441e-05,0.0,4.865014489273489e-05,0.0,1.383142852300408e-05,6.761031752538147e-05,0.00011044327640823578,0.044629307057372385,0.014102297725769153,0.00018973600913826428,3.1417319359720426e-05,0.00037138096276867217,0.0038676786186894953,0.0,7.080771434758174e-05,5.151864902544841e-06,2.533106160814413e-05,0.05852489019867215,0.0015099288487192444,0.0007146361268632525,0.007520121372058088,0.0
Cortex_5,0.0,0.0,0.0,0.0,0.06416186730498644,0.0004129323037042427,4.282429029024749e-06,0.0007285644776485414,0.0,2.156688100917024e-05,9.571642351602225e-05,6.420849822990473e-05,0.00045144865866551006,0.014116711907809708,0.03692019310479847,0.00029752387257185055,0.008029809825320323,7.276862366723699e-05,0.0,1.6427839280951945e-09,9.83103927253544e-06,0.00014534826857028546,6.564105269212138e-08,0.0006974902488284095,0.00022198933232479083,2.356694545192625e-07,0.000822235146319618
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.9370789129193173,0.06913479276107487,0.12178088886412171,0.024728921660246116,0.0005867670419677593,0.0002432602530098442,0.0004125858158092468,0.00015677260436000915,0.0009939386009503604,0.0006456089151630806,0.02738027223549661,0.029591199217344273,0.00016151375091430148,6.610453950628194e-06,6.749722463913111e-08,0.0004429098301996914,0.001043908673685136,0.00271065585270092,0.0817957435601061,0.0388606784935488,0.002603019115720416,0.0931230813729301
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.1206589221873463,0.043145422028881907,0.0006578071855351272,7.096067824025267e-05,2.974447852466181e-05,0.0003471047472471313,1.0071934310770832e-05,3.687536911131874e-05,3.915355029877889e-05,0.01115859290180323,0.0001554080840098894,0.013668630256290358,0.01567370359674929,2.7950841624528828e-06,0.00048704778997354274,0.009138309672041293,0.0001778570332891391,0.04508485082044105,0.01824596834251485,0.0007601799476356947,0.03255702870639632
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1800417508864526,0.0062151441869428385,0.000588481172751602,0.0009436589424309625,0.0008714080323489654,0.0002253947835872065,0.0038370541496359047,0.002347846740103699,0.0006595428153691001,0.003797813189097292,1.3078943878199808e-05,0.000152905876282868,6.965317648820635e-06,0.03642073062128968,0.02483752475032662,0.00046758169153804125,0.01749003598264073,0.013876745111025287,0.0006314363349290429,0.01467691789323079
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11334049111469316,0.02163512678062342,0.0007454367238538323,0.02372842253508474,5.530201821102186e-06,0.00046139881738351316,0.0013402193524426904,8.495188285439706e-05,0.008472142264158093,9.306166972377185e-06,9.943222130459376e-06,0.0,0.00027069894222707825,0.00031273272282972693,0.0,0.00026473495180993754,0.007698744804225034,1.58822258526925e-06,0.0
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24450427543270145,0.0782691042053665,0.0147636583240839,6.159292610468342e-05,0.0002006673118637115,0.03299950799207132,0.0005867465112224607,0.009237963138017101,0.00018046505713965424,9.37489517127455e-07,1.0019893857638889e-05,0.0008654036126740075,5.660416412822211e-05,1.5794606562329645e-07,0.0028534266339221535,0.026320292604703217,0.00037711307803484816,0.0007652198421835286
