,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.133331473984211,1.4683626745175486,0.012277153119728568,0.029913256304263686,0.0024835056050199564,0.0,0.0,1.2526749872319804e-07,0.0,0.00035071124544946427,0.0016390510882059906,0.0015827188042438188,0.0037141224780645656,0.0014258634883473217,0.0,7.119337510630425e-08,3.198743493157875e-05,0.0327715511650554,0.00010511657819067631,0.0007888459391328963,0.0004222311916140729,4.320873377480986e-05,0.0001775162527337625,0.031627005275699505,0.013426105007497214,0.0172646977010653,0.00961429101380595
Cortex_2,0.0,0.6937822774298945,0.065168366275132,0.06552396702901668,0.016690447065054022,0.0,0.0,1.1535535988860774e-07,0.0,0.0001137616074948863,0.0010198029336082846,0.0006889396365933427,0.0027934483871150818,0.0007283392529804658,0.0,0.0,3.910280996273659e-06,0.007673792969197369,8.27752404575191e-06,0.00011733679365561551,2.1301447968157714e-05,3.25206544770341e-07,0.007266592742918292,0.009463195302240488,0.003781226839096929,0.002179584240131087,0.006223272999569026
Cortex_3,0.0,0.0,0.051641975218450736,0.00043370895750028185,0.003869568451002143,1.0111374801150917e-07,4.172595639837383e-06,1.926013657978165e-07,0.0,3.61666469750322e-05,0.0002212196777088241,5.044220102086777e-05,2.15927147918882e-05,4.4875268551080536e-05,1.794032480878083e-05,0.001680349655658701,0.009653684027351872,0.007647439379514189,2.354687467231992e-08,0.0,2.356905606912003e-06,3.156844689411581e-05,8.191270959891667e-06,0.003699905514357831,0.0011748367783581649,0.000148328467306909,0.003270410912746885
Cortex_4,0.0,0.0,0.0,0.04942273779113829,0.011809488959364222,1.9403114676411132e-05,0.0,5.625701435617068e-06,0.0,0.0,4.27239848477209e-06,2.707202009419403e-05,0.020982792938744554,0.002039259202809672,1.1594471956348827e-05,7.526436438271615e-06,2.665969183444413e-06,0.0013416319478750864,1.3829799527798102e-09,7.94407319039369e-06,4.9861219354408815e-06,1.644010041063338e-05,0.025405237391105253,0.00024289789858653732,9.972369930721716e-05,0.0017873946873226468,2.3967371792618252e-06
Cortex_5,0.0,0.0,0.0,0.0,0.03122662319531413,4.7970635965992315e-05,3.936651297902315e-06,0.00012576890311868775,0.0,0.0,4.128690933883632e-05,1.8621205036463346e-05,0.00017613647281313895,0.005724418586559159,0.004982114541928399,2.8548734714600403e-05,0.0013733911181094136,1.857480204513619e-05,1.4284376214214139e-06,1.0132470453618596e-07,1.3904297687081777e-05,0.00011623462567433173,4.773527810659722e-06,0.00032514046675657265,0.00028265644339642906,2.5102401802238665e-05,0.00027409587145655554
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.3553822448675776,0.03122830881410778,0.04902007423690599,0.010440598057982357,0.00013976813720166073,0.00014816675884867664,0.00011079401558320891,1.7258187767765782e-08,0.0003229187323628304,0.0001311664306058419,0.009582978492788037,0.007179918220740249,0.0002140454131712077,1.0325937410014064e-06,0.0,6.425492353947348e-06,0.0004274213845571399,0.001460782355070731,0.053569650339011954,0.012825384318160011,0.0011712255211001798,0.06171908646077934
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.04714637149335957,0.010551107862482482,0.000134375465070159,6.297837206234583e-08,3.3808125610649306e-06,4.2754460605882866e-05,1.0699638273257944e-05,2.583038127093782e-07,4.944626488799528e-06,0.0019530592001158595,9.79913383116212e-06,0.004890261097081403,0.004295528495028269,0.0,0.0002948688661310575,0.005181398419348417,0.00046463505402804254,0.03189935702057168,0.007237361129146969,0.0007583744061811789,0.027132012186261243
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07618913987171383,0.002317663775453011,0.00039841569424418075,0.0006299355963317358,0.0008010357015942387,3.361544022167902e-05,0.001026095056406362,0.0005957832099534112,0.0004985627372901878,0.0010357381225410943,2.5964285129332418e-06,3.68158138107007e-05,0.0,0.011595410306700825,0.0088219020454623,0.00015882164845594214,0.010870043422208289,0.006644936282464244,0.0006487296385151749,0.014260090743545775
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030329137128176854,0.008032315677906838,0.0001595259028158028,0.008289162697959075,1.2174993033296876e-06,4.497037637776109e-05,6.967562201623305e-05,1.7666474377620024e-07,0.004845204255245258,0.0,3.4000468076546877e-07,0.0,1.3100309186044771e-05,2.9672665389695e-05,0.0,0.00011817767313004625,0.0030773092448612913,2.0492749172262497e-06,9.4221647304945e-05
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08139031262305692,0.035470553561552536,0.006242561599379867,8.23914181020334e-06,0.00012859361429543343,0.010182240429151659,5.1348676988688494e-05,0.004720313039499217,3.364936330578916e-05,5.5434692564556985e-06,3.543163403004901e-05,0.00020284494451494457,1.2524258319080137e-08,0.0,0.00042432017088784,0.018321542839237308,4.608785009248868e-06,0.0011506563847173464
