,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.0107820708944928,1.5027446984511101,0.018676640600682724,0.014208893786385698,6.896199023268542e-05,0.0,0.0,0.0,0.0,0.0002782889071560071,0.0011772909421863204,0.0006276617813155855,0.00931531078325742,0.0008228720178364479,0.0,0.0,1.4200749909321125e-09,0.057939613508999004,4.948117293678906e-06,5.463966691523657e-05,0.0,0.0,0.000110784378193775,0.02634964000992113,0.007087373208473294,0.011481284266028584,0.008221025139143025
Cortex_2,0.0,0.715766153504222,0.08700128390439667,0.07283014728894724,0.02082665365418914,6.019233372474749e-08,0.0,0.0,0.0,9.001093588895177e-05,0.0011948068517576647,0.0005723334330648341,0.007562232984893759,0.0011962025754645182,8.28337912632e-06,0.0,4.1372170346675415e-05,0.009556614830052011,6.877024475215625e-06,0.00016754801905731248,9.121220904893398e-06,0.0,0.04517920680261039,0.01847605118585691,0.005632499550040723,0.0036430325088649164,0.007882528428689667
Cortex_3,0.0,0.0,0.05215962212529464,0.0008809796269883973,0.006594581578235388,1.6829957894515e-05,0.0,1.9235646283587778e-05,2.2228662790739956e-06,0.0002810767650785106,0.0004992530335863213,0.00010903304189505932,0.00038322909330605284,0.0007204998393322516,0.00013044927452345614,0.0037265350298573605,0.010811395654903366,0.009841732928467772,2.6393621131622396e-06,1.7285187233803166e-07,2.130051366931387e-05,1.6168785257319095e-05,0.00023285173180434584,0.004515407226698225,0.0020065513703273166,0.0010770445976572625,0.0038472754085300165
Cortex_4,0.0,0.0,0.0,0.05753370733035465,0.011940029991871775,0.0,0.0,4.621669477598591e-05,0.0,1.1946786075058673e-06,6.722682026204525e-05,1.7879131341880124e-05,0.023506335204899087,0.00819512352697843,3.793209821846374e-05,2.9243945640441966e-06,7.196139505692319e-06,0.001202748681262549,1.5155899209923173e-06,1.8601708840113417e-05,1.8171365189529403e-05,1.6954854663958516e-05,0.013310112173950983,0.00043435115844961826,0.0007096887829188079,0.002774706175142843,0.00023827449993924288
Cortex_5,0.0,0.0,0.0,0.0,0.05807686164430921,3.963788925728939e-06,0.0,5.966744714567837e-05,0.0,1.8553178210461508e-05,5.685269063397839e-05,2.543299088420741e-05,0.0011428729687340843,0.007598383385131817,0.006834941639839519,5.984907894210607e-05,0.0027640720641227243,2.057447105996565e-05,2.3834740805964752e-06,2.7672014530926496e-05,1.8652069578265777e-05,1.7449509589193646e-05,0.0004373909577124222,0.0004567616750219008,0.0003163925897102147,0.00031609993309128937,0.0003446420911738317
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.39676703283457465,0.03699205799494708,0.049497212512771394,0.007721128555173491,0.00012109321303463574,1.0459946556373443e-05,0.0003650566102585226,4.778331203851813e-05,0.00018063617862511993,0.00016519437416722814,0.021010728327675653,0.014973019591993203,0.00023631684613029848,7.799080654535726e-06,0.0,0.00019313288481494282,0.00010560886884917583,0.0018159783529583182,0.04662724945552367,0.02415939797423724,0.000203726455226505,0.0643761828604951
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.06848370761332087,0.015003402486891013,0.0001273971812585353,0.0,1.9477516484616225e-06,0.00019491150325661973,4.036291708568056e-06,1.5930510660360242e-05,3.418552211466333e-05,0.003383411231721779,4.148767571321153e-05,0.0053495160685070485,0.005932623921680678,1.195970438996833e-05,0.0004697620142787907,0.00414805182328508,0.000687614050009426,0.040816906681927674,0.015863220418927404,5.485189288062952e-05,0.028999406752309238
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07916336863077034,0.003899577080858763,0.00015784638708755285,0.00020106061930768286,0.0004076388773096789,3.422151240174816e-05,0.00041313451034598266,0.0007252514096728933,0.0004338055119204609,0.0008527200753947019,2.2310009219106644e-05,6.017476262368624e-05,0.0,0.013122487000075324,0.00846250890946896,0.0004432030275032536,0.01467033466821009,0.010077390464795917,0.00010068444018835467,0.014753725957151834
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03655461926544489,0.01045290485443297,0.0002195488848270672,0.01124254824705558,7.5471783411550405e-06,8.286827185211975e-05,0.0005525805776671056,7.638973945404292e-05,0.003960631948680841,1.2337807745027885e-05,1.9690936881033906e-09,2.8025278071355554e-06,6.338976997988827e-05,3.510908222968652e-05,0.0,0.00010076514881802625,0.0027103893500477747,0.0,1.8492315348333826e-05
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11088778086449766,0.03152334108543424,0.007754349763479001,1.4425574081774431e-05,9.099642577479755e-05,0.009011519609276023,0.0001948326050994976,0.004218429497923237,5.926584813932034e-05,1.7420039902507523e-05,8.961616836384273e-05,0.0002333011040866652,1.5436412218024335e-05,4.6968572340624996e-06,0.00017195571467303262,0.011708513998842512,0.00020743302664933392,0.00017025368236187502
