,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.04272750461134575,1.6765727403721087,0.009659205535572006,0.029907194148981027,0.0003165100196566869,0.0,0.0,0.0,0.0,0.0003059077537272958,0.0015405077436612532,0.0007189161427850343,0.003510299155006222,0.001137143986813572,3.7045500357635e-05,0.0,8.92340403879625e-05,0.027340664560492993,0.0,9.923645648651112e-05,3.5654011279953637e-05,0.0,0.0009002490482614625,0.017484059471045324,0.007340605066333522,0.009669301571336913,0.00180782516746295
Cortex_2,0.0,0.7863562065144272,0.0628691624287852,0.07003128718872295,0.01610534455198678,2.164068305273634e-05,0.0,1.242319097541223e-07,0.0,9.991264638048354e-05,0.000732028209836883,0.0004521202133104669,0.010379131879716093,0.0004523141114278382,1.8577776209364523e-05,3.878599412322057e-05,0.0001801748388502354,0.011440050290986685,1.9100161525821246e-05,5.9429023347470695e-05,1.755859184876671e-05,1.3864519132766026e-06,0.060744599557863675,0.0071012165243307624,0.0034406505457166645,0.014009581806412827,0.0038462755004182504
Cortex_3,0.0,0.0,0.0701007930006465,0.0005153467777296502,0.0056238189160800105,4.028333478345304e-07,0.0,2.1606163261907677e-06,0.0,0.00014113588246087073,0.00022615852915545132,5.397758606938473e-05,4.519452283382194e-05,8.023875080838607e-05,2.504360735050077e-05,0.0034060145248934887,0.00646353340223678,0.005359909227984233,0.0,7.801759407069444e-07,0.0,1.546237212342779e-10,3.929091599274792e-05,0.0019095475962199032,0.0008043004416976199,0.00030212693355716706,0.0011452553364961124
Cortex_4,0.0,0.0,0.0,0.07005667817069727,0.014094994918349084,5.993514087358528e-05,6.286864860042262e-06,5.5363265004192335e-05,1.4302785400232144e-06,1.3923724490806888e-05,2.8259617907215207e-05,4.80876576867573e-05,0.02347279892959614,0.004423911822812978,0.00015614848278474073,4.385117153801632e-05,0.00020427685529287044,0.0007648909139355564,1.1809436013214546e-06,1.3691886495720312e-05,1.3998191647373985e-06,1.1868489739558645e-05,0.04226331543022408,0.00039427941268042145,0.0001993297132449861,0.003776260574988729,0.00012721509639439517
Cortex_5,0.0,0.0,0.0,0.0,0.028528297086448308,0.00019146150351565804,4.048074326115877e-07,0.0002030633976353328,8.047516682077777e-07,5.1673095662234115e-06,1.9839223240422693e-05,9.40647941273766e-06,0.00017373305207575573,0.006462565411344393,0.01892363255485829,0.00017348713416135512,0.0032146180383420013,3.106081459430808e-05,2.326527768066927e-06,3.5595095505833847e-06,1.2603364194984567e-05,5.87554242530576e-05,7.514138940697042e-10,0.000148161166161266,0.00012284652402993346,6.933326550945773e-06,9.261755702835278e-05
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.47636319739031924,0.04595521246865116,0.06837187797862006,0.010396567014622543,0.00017730900701565358,0.00012798717040638402,0.0003075691283523465,2.6043511313744208e-05,0.00056123723848372,0.0006195656143546475,0.01462534277025907,0.012682886515428598,4.980913468853143e-05,8.994525364869188e-06,0.0,0.0001704862187013657,0.00037235615133230553,0.0010458952732279024,0.03428021065023432,0.021264660680007035,0.0014482974691370919,0.05685602980658357
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.06774473963430161,0.02286623538978484,0.00022149397238303793,3.948623888723014e-05,1.3617216329416432e-05,0.00017323601827970038,1.831839017264401e-06,6.474247128219774e-05,1.7885954311066733e-05,0.0056674276131693894,6.194767665298272e-05,0.006962344224719991,0.006887069795629014,0.0,0.0002629662072871805,0.005427728648151167,0.00037920530011268755,0.018942023172967132,0.009333639021431724,0.0014404815507252356,0.0225961603447732
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09606340846071236,0.002084797402936498,0.0003732931457927606,0.00046364268045828624,0.0006289292100753262,8.822625865079096e-05,0.0016306956771464747,0.0010935009674883,0.00026632400926605707,0.001610506558151948,2.9468646299166714e-05,9.990851564274811e-05,4.805476078577381e-07,0.017998480997361906,0.01600741897800564,0.00016154079457919284,0.0076336594529267604,0.006244460174277421,0.0007797917888682661,0.008593909396290353
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05423433396446067,0.009698488497971506,0.00017214815936704412,0.009894595290809638,2.5344608843623315e-06,0.00011499632218797215,0.0006247703996766775,3.117412107254513e-05,0.0036136075404138274,1.3853178919911538e-05,2.5868882849166694e-05,0.0,0.00015236593747355482,0.00026752445651111114,0.0,0.0003671299064833051,0.0031452784541538908,0.0,1.179805508400025e-06
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1220131967650508,0.038143497170421696,0.007229497087200226,2.5173355660940777e-05,8.566011313876994e-05,0.018869777994870843,0.0003211832279135782,0.0035545990143248463,5.388613545662528e-05,1.8482700657581473e-06,1.0505952256304841e-07,0.0004082985545912342,2.64027243007384e-05,6.664821350048964e-07,0.0010365485559455873,0.01047672664461498,0.00023077645924856255,0.001062313253523174
