,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Intra-cortex
Cortex_1,0.02500502598081225,1.4947228387340905,0.027784607232670133,0.014188361878995397,0.0018512995612165902,0.0,0.0,0.0,0.0,8.113362361785e-05,0.0003184261660598078,0.0007765344653299489,0.003958332380676605,0.0017824845655553562,0.0,0.0,0.0,0.027319192758466112,9.133554385697656e-06,6.330009471153571e-05,4.574702820213227e-06,5.350875233908654e-06,0.006102516672314088,0.01652287336437888,0.01619985229117936,0.010515127135128907,0.002490956108616125,0.0611000711906022
Cortex_2,0.0,0.6822392592639404,0.06634512409199217,0.07525962228154824,0.014734632822653707,0.0,0.0,0.0,0.0,4.958884321329409e-06,0.00012080064508553184,0.00014151197462613474,0.004602814637959576,0.0007775223347660097,0.0,5.832249977779167e-07,0.0,0.012464447240893925,1.760328647530156e-05,9.624372725940352e-06,7.079362745798281e-06,0.0,0.025668677568100554,0.0038117040907786975,0.004511804847770216,0.006697597615112607,0.0003531958833704416,0.0886107927097761
Cortex_3,0.0,0.0,0.0889451434896214,0.00010763668963454184,0.005138797634661981,0.0,0.0,0.0,0.0,0.0,2.1602543605206423e-05,7.210600386207778e-06,4.4150258719025386e-05,4.115490033503412e-05,0.0,0.005884987732703792,0.007707618713086234,0.008174671528688867,0.0,0.0,0.0,0.0,0.0,0.0005025907796986387,0.00022192007560780085,0.0007665887696835669,0.0003216830084890375,0.007852425483317913
Cortex_4,0.0,0.0,0.0,0.04642254243600483,0.007906906199039191,0.0,0.0,0.0,0.0,0.0,5.39046871901e-08,1.3890462490789463e-05,0.016039811096206804,0.007767909049466608,0.0,0.0,3.046838950790185e-05,0.0011401712226674014,1.7177864768715962e-07,7.620504950707271e-06,0.0,4.8458213523888735e-06,0.012856306175513131,4.843753595195893e-05,0.00014856421223101015,0.004769835051466023,0.0,0.006915302025568954
Cortex_5,0.0,0.0,0.0,0.0,0.030020536760770235,4.678944403872222e-07,0.0,9.86789396371154e-06,2.3003373184514442e-05,5.479603137318254e-06,2.579427018645139e-06,2.0342461519327177e-06,0.0001636658730396086,0.003222405453809049,0.007554338632716338,6.4892297618336e-05,0.0021658107203602495,4.10567550677595e-05,0.0,0.0,0.0,3.98740108040693e-05,0.00031047353725928753,0.00010339994055167527,6.0390277558712053e-05,5.987058600314562e-05,1.2223083306e-05,0.0027220002438641646
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.3305588455495841,0.03948118788888947,0.05547317970667804,0.014889605870965779,6.22235695898e-06,0.0,3.618852045595541e-05,0.0,2.0984378778621025e-05,4.63827699614371e-06,0.008332445927372485,0.011766094095841017,6.124391322747527e-05,6.448687372539062e-07,0.0,4.005079750236612e-06,0.0006890984854699567,0.0006420798513900626,0.018877468085291102,0.01130777850615817,0.0004683111985144662,0.03294398356999242,0.01946535088983304
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.04684059688694126,0.012668203779831848,3.090878746863583e-05,8.088690741542024e-08,0.0,6.453368210183426e-10,1.4515010983965659e-05,0.0,0.0,0.0032852846973862567,0.0,0.004079652595496413,0.005394170836051587,0.0,5.679182244038579e-07,0.006005268727826838,0.0001679610734544504,0.012723065638705506,0.0037665176908104276,0.00011103790011348756,0.008020175007516152,0.005281081332294257
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552252173411722,0.005171598225436728,6.103424678959825e-05,2.0896379621706918e-05,0.00022162003253119598,0.0,0.00011011399374924754,4.1712511501961876e-05,1.941352939362694e-05,0.00042322621823395675,0.0,0.00015171375795728983,0.0,0.007894129750839932,0.008797289624376484,2.9934214061134625e-06,0.0029673342496107807,0.002552325724449329,3.228535726000893e-06,0.0023318821615906714,0.005709147447587422
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02812433147547198,0.009208265529879767,8.120910997870678e-05,0.007640831572426144,0.0,3.598994610118813e-05,0.0002549477405561377,4.05769998906175e-06,0.004601230056610226,0.0,0.0,0.0,9.895016571842686e-07,0.0,0.0,0.00010786054986056,0.00797375539073531,0.0,0.00060176649785717,0.002916679678821448
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09222335898807808,0.031163480514988153,0.002544121132782704,2.569932990224643e-08,4.3273045662317186e-05,0.010226133570139741,0.0,0.003448007210433921,4.9246360644103025e-06,0.0,0.0,3.457879608056723e-05,0.0,0.0,2.0966428045142856e-06,0.010553557352415683,4.269169754219804e-07,0.0,0.005911524431013617
Cortex_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06403314737164104,0.007307340979795223,4.5395905434730625e-05,0.022163105118209365,0.013338510920164914,2.9861469599261746e-07,9.695740466770324e-05,1.2487183461746877e-05,0.0,4.2077365953395134e-05,6.255475641441689e-05,3.033978478364183e-07,1.3392875189309375e-05,1.4783995224475782e-05,0.0008472739066732024,1.205246076096875e-05,0.0,0.005174767812858492
Cortex_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01825335451152404,0.00038206722051910654,0.006466979416521169,4.508001761607208e-05,0.0,1.7853306429256555e-05,2.7073171756851637e-06,0.0006752882756838003,0.0026321070564009844,0.005092216446698877,3.2717259611481895e-07,1.6303783675415698e-05,0.0002750590385810865,0.02297052452660858,0.003307048045444181,0.0,0.0029195629913995346
Cortex_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036571410688895606,0.02448338189469472,1.722695789112531e-05,0.0,0.0,0.0012783269869802785,4.948660771580874e-05,2.885421917818546e-05,2.8445317860182294e-06,0.0,0.014055461919748465,0.0007603912565894429,0.0012932546557501427,0.12780466143163471,0.030542127403059286,0.009708822468029375
Cortex_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0516438942407892,0.007507207185556894,1.8200469639850002e-06,0.0011695419861452948,9.16611525361481e-06,0.00021498842912687742,0.0016962967549397961,0.0004821730783561926,2.2826927960807572e-05,0.0010198786829676001,0.0017732595048477206,0.005895782772436426,0.015907997010094554,4.9969762727641864e-06,0.005713523474420755
Cortex_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05034985211773393,5.6407799274890006e-06,0.0211461222803376,3.6021537828044232e-06,0.0,0.0,2.7020934814862772e-05,1.1682070308328945e-05,0.0,1.60634780570375e-06,0.001069901280817597,0.0,0.0,0.004133526806617321
Cortex_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03650177355945516,0.01564557142315402,0.004112328025958696,8.514061908471029e-06,0.0,0.0,1.1480993672617904e-05,0.0,0.0003977020366555431,0.00029725626148042653,6.318222606296298e-05,0.00030778374709824997,0.0027757413661664804
Cortex_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05731357634592564,0.00044104177334549423,0.0,0.0,1.6005823861122776e-05,0.00016784173286239846,0.0,5.601493649009375e-06,0.00030708905177570295,0.0,0.00013019924517720748,0.004688883602644591
Cortex_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333317100160104,0.0013765237369982944,1.4699102875886752e-06,0.0,3.0560475711326694e-06,0.0,0.00014730131872174948,0.00030569778570252806,0.006493279019625795,3.0847071124855766e-05,0.0037346261152804818
Cortex_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023947888667292964,0.012117776721430995,1.715923036819472e-05,0.004777362071328095,0.0,0.0013347375452421567,0.009753169939154493,0.00016603111686563641,0.0,0.0022226801661248373
Cortex_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03753459243554295,0.006069136676390879,0.0023914264926868305,0.0,0.0009626248924582291,0.008062170639620926,0.0001868176806662315,0.00015215416594097778,0.0026651129623661536
Cortex_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378986067035523,0.00871141020588503,0.0,0.0,0.0014900393236141377,0.0,0.0,0.002511670104587421
Cortex_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04576496209508048,3.438028845546519e-07,0.0010092724176600553,0.001109137952548195,0.0,0.00022764561887155384,0.0029537335757343574
Cortex_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64625646513725,0.12363602138655563,0.003951175632764141,0.004491751799406519,5.599411265602974,0.4606890025526983
Cortex_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.422630805372774,0.6125576619072419,0.16636409025908616,3.8271291041694124,0.23017284643778288
