,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Intra-cortex
Cortex_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07460261726069901,0.004585810940264938,2.25923116542203e-05,0.023784284300202616,0.021425802731752146,0.00023882811176170496,0.0010865220126011297,6.386480318098968e-05,4.305335335730295e-05,2.9951068620630386e-05,0.0004331844577287227,6.003811144247134e-05,0.0,0.0007336968401681442,0.0008916283183277271,0.00032872829832264374,0.0001755370172986624,0.0062199850599833646
Cortex_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021204596296495185,0.00010876902799683547,0.003510932348307108,9.445598593440423e-05,0.00030906067829326883,0.00018818104812538935,4.4410441716164876e-05,0.0006634053553462453,0.0029504836463686585,0.00694869397994604,0.0004566960905138141,0.0,0.0004041402965646818,0.012465351492294973,0.0005942641961166703,0.00030318578618940896,0.002777840376967757
Cortex_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025640726800264364,0.016395992492398016,3.9112755963793904e-06,5.8396451818064985e-05,8.051436238654018e-05,0.0013847926457265568,0.00017804304439666767,3.248782851825134e-06,9.478991511811287e-06,2.7167476261387745e-05,0.007836198934949792,0.0023912538674971335,0.00035929917167004454,0.07176573435433271,0.02169607741456803,0.006253051787721311
Cortex_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07580489010283628,0.011522440216978055,0.00010557258856098536,0.004701208639854662,2.537980533722433e-05,0.0008178937181741912,0.00020324289941652793,0.0006466456959469231,0.00048243703128200813,0.00014470041281810912,0.010399242428400277,0.00853475611541627,0.018888463592633662,0.0009883928536282766,0.007178466719698194
Cortex_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05411895601021183,0.00017317127081071124,0.02499312673759538,2.2636266424587055e-05,0.0,0.0,0.0003731042749065862,5.2536840755560156e-05,0.0,0.00028210628138935725,0.0007287798660663637,1.471525029046375e-05,3.431892150728976e-05,0.004953185487944356
Cortex_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04471431704969962,0.01976064600901105,0.0037198232500502172,1.1120834230381724e-06,0.0,4.2794515823708065e-05,0.00016502458667983706,3.129588804426569e-05,0.008919038274146609,0.0036301220865587063,0.0005332426458294823,0.01317214849579817,0.004444362459757949
Cortex_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05392234011894082,0.00014240301521653624,0.0,8.39160897056677e-07,0.00043163633246480433,0.0007249157577426978,0.0,0.0005876676805480922,0.0008435315467010052,3.0363095538632104e-05,0.0009177385999482306,0.005195349166591295
Cortex_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034475348356306224,0.0019156520844843096,1.0289518752706966e-08,3.255723197817516e-06,1.0033668676057003e-05,2.735913417731827e-05,0.002006431713956904,0.001007995091762891,0.004194779679681145,0.0018974500863377002,0.0036316883828931873
Cortex_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035253720917289066,0.013035030220411097,0.0001987778721000838,0.0020895522482180648,8.391040694277038e-06,0.001075889249137282,0.008862363322462919,0.0004259525622048155,0.0002544972308935435,0.002593139294905013
Cortex_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037915197174095354,0.006384418588604398,0.006798893200013516,0.0,0.0011639141969030803,0.012637629702046235,0.00010666729366448384,0.0002427098014676472,0.0030361710476921135
Cortex_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040373883553883695,0.01271449393593319,0.0,0.003116994871358433,0.005511293010893865,8.74080392602779e-05,0.0012328286428176605,0.003324684484836361
Cortex_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045830811159178,3.6107692704501645e-06,0.008108419390459266,0.006113316263025369,4.25550010001341e-05,0.003211523129372131,0.003758979010092783
Cortex_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35044112978155,0.048367036158704524,0.0028821739880100436,0.0017471766903724875,6.36265188050245,0.5488852214565438
Cortex_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9853755869591257,0.6506028026970572,0.17268091223794346,3.8018667255670575,0.21581281115898465
Cortex_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6740132963340991,0.02485018576947263,0.30234036043598234,0.06622159451986073
Cortex_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09486224844239811,0.11358427218933285,0.019962278279232405
Cortex_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3978572625012947
