,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27,Intra-cortex
Cortex_1,0.015070882936966625,1.1779881191294002,0.028737277577542252,0.016201272463531386,7.584097157733546e-05,0.0,0.0,0.0,1.280574997508665e-06,0.0013563773169461696,0.0018491564521554377,0.0005816230080908333,0.0015163878828125033,0.0004809459939017378,0.0,0.00017352659779134875,5.4556375835089996e-05,0.03292263771327665,1.435162308727099e-05,0.0002146324464650075,7.696687241340418e-05,1.6386700246164302e-05,0.0011245748088752482,0.016788288769678947,0.011519927418602801,0.039323370365479705,0.0,0.049855125333321246
Cortex_2,0.0,0.6542333880088871,0.06371792270112331,0.061607690283572616,0.006099951159312134,0.0,0.0,0.0,0.0,0.00023338638209520653,0.0006625431366954048,0.00039308268923597,0.0031265409227230535,0.0003509579677018167,0.0,8.1803879473276e-06,1.0761919740786948e-05,0.008754046667737186,1.973920143673735e-05,0.00012167208781450617,3.302534638504644e-05,1.3663291448274151e-05,0.01054790127803548,0.006756951366223192,0.003992687242429888,0.007276804708261554,0.0010259083865093916,0.0743324046023969
Cortex_3,0.0,0.0,0.06595174361942159,0.0008122599418491906,0.005971319357714859,2.4260441932708962e-06,1.2721185011133072e-05,0.0,0.0,0.0001836429940265629,0.0002985690647845356,4.769214307703142e-05,8.610526535086836e-05,1.6608862911955463e-05,2.7399083289004167e-06,0.0030066234537619095,0.008726297552330908,0.007307636094977438,0.0,0.0,0.0,2.949278822574519e-06,0.0,0.0031478418356880524,0.001153214586771377,0.001151840829877289,0.0013989088406649462,0.007101345968082591
Cortex_4,0.0,0.0,0.0,0.052194881999235714,0.005448954263848251,0.0,3.9397261230428714e-07,4.2617107607968465e-06,0.0,5.2601781102678975e-06,5.637067289804987e-05,5.027878186494624e-05,0.015998419945403245,0.006132786324973692,3.180659526671112e-05,1.0378365538241912e-05,9.468535019558536e-05,0.0011220353746866593,5.605017805522611e-06,1.608212630934524e-05,1.547247825452732e-09,1.615992325796317e-05,0.006602815499551432,0.0006593323470893322,0.0008617267276430231,0.0036136665664683273,0.00019676581626169265,0.0063608848813326724
Cortex_5,0.0,0.0,0.0,0.0,0.03915875620482275,1.6650776590015047e-05,5.94673682223544e-06,3.50721712666621e-05,3.646027633092222e-06,3.393275577735181e-05,5.650441835699619e-05,2.1863403840479812e-05,0.00042860399107917343,0.004730400175329034,0.011368417456729733,4.687470578548639e-05,0.003080905314588625,1.0798368835460269e-05,1.88305559984375e-07,7.111533404319634e-06,1.4083162242945833e-05,2.402610515832928e-05,5.8491668002918484e-08,0.000544978547029335,0.00031850546403208783,7.90085209813404e-05,3.117077721349381e-05,0.0028745766358222046
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.454225387674707,0.03135830376151327,0.04888269719312625,0.008853191720919253,1.6937809941249496e-05,4.130780601378981e-05,0.00029502755383245945,6.916988899013923e-09,1.1758309965514393e-05,0.000125359805415427,0.025543011820993958,0.008992826698688325,0.00043097516236608705,1.4774352621315949e-05,0.0,8.129539170040459e-06,0.0004175696775002095,0.0006245581357703053,0.03956158313065048,0.019618787993423634,0.001101407257750907,0.08000252963605989,0.026672044769563023
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.05808243794389882,0.021151532452194054,0.0004337916548459323,2.627374020188437e-06,2.109311493272627e-05,0.00016627285666619403,2.226224478402726e-05,1.0397036204571529e-05,2.125420754358169e-06,0.002406427181505291,7.718001824819747e-05,0.006298556506292249,0.0050744441763999285,2.2797482986152673e-07,0.0002347116401386076,0.004624657060158971,0.00012777599494660682,0.02280735201066582,0.008753901141353668,0.00014911545695244462,0.019166289553362297,0.006703353498856066
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08369786295795704,0.0031443474336913177,9.824297308839174e-05,0.00011572766981874458,0.0011775805081754047,3.110147000968283e-05,0.000328173472140033,0.0005027731235932753,0.0010769322364669197,0.0017696551914684778,0.0,4.702022675877918e-05,0.0,0.00940852786280644,0.014421841973916232,4.188065963310766e-05,0.006528880570088256,0.005692275124054563,8.846671636979732e-05,0.013016730720367959,0.007824503126583414
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03062832271764797,0.00864750258672537,5.442670286443887e-05,0.010616394869510675,0.0,3.026778598580393e-05,0.0004218538486620088,9.627263070654397e-06,0.004376117271514456,0.0,1.5415378197758125e-05,0.0,6.493813018645631e-05,0.00015024186646856987,0.0,7.52972246118575e-05,0.002233261964509881,0.0,0.0,0.002583700926742333
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10252407271061822,0.03355596259035628,0.004611244094352459,1.0787120377894197e-05,5.437517129231681e-05,0.00783014757990881,0.00021207714545056373,0.00321530042639308,2.173267874061022e-05,1.4753800425688059e-05,4.2399501638999605e-05,0.0001460786467244261,5.219655890722478e-05,0.0,0.0016096301704625446,0.00758280218952436,0.0006098454765118972,0.0004543475321097654,0.006412061620908367
