,Cortex_1,Cortex_2,Cortex_3,Cortex_4,Cortex_5,Cortex_6,Cortex_7,Cortex_8,Cortex_9,Cortex_10,Cortex_11,Cortex_12,Cortex_13,Cortex_14,Cortex_15,Cortex_16,Cortex_17,Cortex_18,Cortex_19,Cortex_20,Cortex_21,Cortex_22,Cortex_23,Cortex_24,Cortex_25,Cortex_26,Cortex_27
Cortex_1,0.01885827514342965,2.863656616382577,0.02640687576948617,0.03857751854739772,0.00046514740054387493,0.0,0.0,0.0,0.0,0.00023542987206123166,0.0018046448857334941,0.000855517151770711,0.014137123070036148,0.0024047616883564526,1.64950997714186e-06,0.0,7.8129502071525e-06,0.060479783782393756,8.024093403945312e-06,0.00014527354519896943,0.0,2.358749938698846e-05,0.0,0.0484320738112035,0.014922362593179798,0.022103961063748997,0.0063733065940141
Cortex_2,0.0,1.2875760125317792,0.15084572500130522,0.1481230856506087,0.03455740889292301,0.0,0.0,0.0,0.0,0.0001904130808508717,0.0013946229159244854,0.0007550067512693484,0.015071549087496347,0.001708677201264217,0.00012564920576967864,2.3581916271571913e-09,5.158156147224548e-05,0.01714474294735774,3.9013881121262156e-05,0.0003078484203030117,5.8758693277566535e-05,0.0,0.0343606435024171,0.034288582420229155,0.011982544757221677,0.005918964172250162,0.010449182506989417
Cortex_3,0.0,0.0,0.08265079600869128,0.0013200862929674863,0.01134183179244537,7.694399755564517e-07,2.0879259089402776e-06,6.533331208069988e-05,0.0,0.0004032632656159858,0.0006677116369496311,0.0001305406322640518,0.0008211730861030349,0.0010372049127714148,0.0003239731933433576,0.007669903527368614,0.019255661351781493,0.01602598605061987,2.757682378747474e-09,1.9094615742721405e-05,3.0750521156875056e-05,2.1804913465016667e-05,0.000186808503106775,0.00990563075383074,0.0039993440914880335,0.00046200389898279874,0.008400371754216767
Cortex_4,0.0,0.0,0.0,0.119138610577948,0.021134425627331387,5.240972106029e-05,0.0,6.739610737858265e-05,8.79221396254643e-06,0.0,2.5688322607486988e-05,8.343959907939336e-05,0.04266187512866539,0.016582059253796418,5.446553939561516e-05,3.0691291918774284e-05,8.053619965754106e-05,0.0020091043718318356,7.248983634012855e-06,3.986961241563816e-05,2.1342575073792063e-05,5.130583156749801e-05,0.009306504178205428,0.0006943291905157934,0.0004519979339829469,0.001788285471162351,0.00018783714455951429
Cortex_5,0.0,0.0,0.0,0.0,0.09648810505767809,2.4768360221759614e-05,0.0,0.00013826986926440316,3.146311024061611e-08,3.066083384813417e-06,0.00019055252144376393,3.1241426481984434e-05,0.0027432191381331896,0.016342052383309984,0.01400974270012399,0.00017177791005043282,0.007214089269171217,3.851776866774776e-05,1.166917090837173e-05,2.9388663525973658e-05,2.7345567948984026e-05,5.787873016546732e-05,0.00010188066976802778,0.0006890108876261883,0.0007521182397105988,0.00032146075998835,0.0007090002805527889
Cortex_6,0.0,0.0,0.0,0.0,0.0,0.649243559671023,0.07106218883698578,0.10274328189862347,0.01505755817260507,0.00017500022868018297,5.7765655992623124e-05,0.0005131548381393659,1.7574805951880627e-05,0.00023355395344008752,0.0002185265645259054,0.0334320268147143,0.026352236739828276,0.00016779388785614742,1.744674991641625e-05,0.0,0.00020847049242946902,0.000548579490658069,0.0038834541904009105,0.08269435664025342,0.049543278953887826,0.0011716428841072675,0.18117112482320147
Cortex_7,0.0,0.0,0.0,0.0,0.0,0.0,0.12888222410856617,0.026377230060110803,0.00046834542116938496,2.6257015974355254e-05,0.0,0.0005203502817497021,1.6174818564627777e-05,1.584801425735753e-05,2.660233551523444e-05,0.008393814043909613,1.061482470908544e-05,0.011734426567615412,0.012609901916925376,3.611450485976852e-06,0.000815326942763607,0.007267017558981591,0.0014110895835349455,0.07660948083178377,0.02562091894902392,0.0001968644246769806,0.0684689889117397
Cortex_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13507596483801393,0.007741564745884924,0.0002583466144007742,0.0003633947949274015,0.0005880744251021764,6.243033939050333e-05,0.0008305790298108149,0.001336704461508175,0.0008934447326810912,0.0011739209794860207,5.1872252747620875e-06,4.3168396704500274e-05,5.2301190970908725e-06,0.020480880844069068,0.01818747051615036,0.0005015572399835394,0.02429440061026599,0.021587929602907802,0.00015798928215726428,0.039034866472806275
Cortex_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665344327749716,0.01968229599447294,0.00019258102135113017,0.01775110341898706,4.098278285702359e-05,0.00013482337820907482,0.0009619269329330106,0.00013173758838632278,0.007167948674194331,1.1321000504092307e-06,3.872543675242813e-06,8.670666728802555e-08,0.00010727606172622127,2.5427320983120846e-05,0.0,7.632187566739883e-06,0.004664344295248336,0.0,0.00026637288729034186
Cortex_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20922731779191736,0.06253475873795038,0.017413141513141432,3.061509050894464e-05,6.720791982063616e-05,0.015046275099966654,0.00023609079870213836,0.008565225606808436,3.3680180273711645e-05,3.9351347572720594e-05,0.00011842103200135954,0.00021134316266180925,2.9208291286813692e-05,0.0,0.0009922075215931473,0.031176410626233893,6.0179588867217854e-05,0.0007879258565870715
